author,id,working_paper,file_downloads_last_month,file_downloads_3_months,file_downloads_12_months,file_downloads_total,abstract_views_last_month,abstract_views_3_months,abstract_views_12_months,abstract_views_total
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Emissions Trading and Intersectoral Dynamics: Absolute versus Relative Design Schemes,0,0,0,20,0,0,1,56
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Partial International Emission Trading,0,0,0,38,0,2,5,354
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Strictness of Environmental Policy and Investment in Abatement,0,0,0,63,0,0,0,172
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Sectoral and regional expansion of emissions trading,0,0,1,31,0,0,12,134
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Sectoral and Regional Expansion of Emissions Trading,0,0,0,9,0,0,8,54
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Samaritan vs rotten kid: Another look,0,0,0,44,0,0,2,154
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Samaritan vs rotten kid: Another look,0,0,0,47,0,0,2,147
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Privatization in a polluting industry in the presence of foreign competition,0,0,1,3,0,0,3,15
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Permit Trading and Credit Trading: A Comparison of Cap-Based and Rate-Based Emissions Trading under Perfect and Imperfect Competition,0,0,1,80,0,0,3,207
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,GOOD AND BAD EQUILIBRIA WITH THE INFORMAL SECTOR,0,0,1,156,1,1,6,799
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Strict environmental policy: An incentive for FDI,0,0,1,31,0,1,8,149
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Liberalizing Trade in Environmental Goods,0,0,0,106,0,1,6,346
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Liberalizing Trade in Environmental Goods,0,0,0,12,0,0,5,67
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Is Emission Intensity or Output U-shaped in the Strictness of Environmental Policy,0,0,2,24,0,0,7,72
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Group rewards and individual sanctions in environmental policy,0,0,0,32,0,0,7,333
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Group Rewards and Individual Sanctions in Environmental Policy,0,0,0,36,0,0,10,371
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Group Rewards and Individual Sanctions in Environmental Policy,0,0,0,0,0,1,8,22
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Environmental Regulation: An Incentive for Foreign Direct Investment,0,0,3,21,2,2,15,83
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Location Choice by Households and Polluting Firms: An Evolutionary Approach,0,0,1,4,0,0,3,19
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Sellers' hedging incentives at EPA's emission trading auction,0,0,1,1,0,1,4,19
Brian D. Varian,https://logec.repec.org/RAS/pva838.htm,"British capital and merchandise exports, 1870-1913: the bilateral case of New Zealand",0,0,0,25,0,0,0,10
Brian D. Varian,https://logec.repec.org/RAS/pva838.htm,Anglo-American trade costs during the first era of globalization: the contribution of a bilateral tariff series,0,1,1,1,0,3,3,4
Brian D. Varian,https://logec.repec.org/RAS/pva838.htm,The economics of Edwardian imperial preference: what can New Zealand reveal?,0,1,1,44,1,5,9,51
Brian D. Varian,https://logec.repec.org/RAS/pva838.htm,The revealed comparative advantages of late-Victorian Britain,0,0,1,39,0,0,9,43
Brian D. Varian,https://logec.repec.org/RAS/pva838.htm,The revealed comparative advantages of late-Victorian Britain,0,0,2,71,0,0,6,51
Daniel P.J. Capocci,https://logec.repec.org/RAS/pca112.htm,An Analysis of Hedge Fund Performance,1,3,9,"2,824",1,10,33,"6,976"
Daniel P.J. Capocci,https://logec.repec.org/RAS/pca112.htm,Hedge Fund Performance and Persistence in Bull and Bear Markets,0,1,1,609,0,5,13,"1,209"
Diana-Mihaela Țîrcă (Diana-Mihaela Tirca),https://logec.repec.org/RAS/ppo184.htm,Competition and Human Capital on the Education Market,0,0,0,28,0,3,5,87
Elvira Takli,https://logec.repec.org/RAS/pta514.htm,Comparison of Simple Sum and Divisia Monetary Aggregates in GDP Forecasting: A Support Vector Machines Approach,0,0,0,49,0,2,7,193
Hidetoshi Yamaji,https://logec.repec.org/RAS/pya299.htm,Characteristic Development of Japanese Corporate Financial Behavior Affecting and Responding to the Changes in Accounting Standards,0,0,0,0,0,1,1,6
Hidetoshi Yamaji,https://logec.repec.org/RAS/pya299.htm,Cognitive Bias in the Laboratory Security Market -Differently Available Information and Equilibrium of Security Market-,0,0,0,0,0,0,4,110
Hidetoshi Yamaji,https://logec.repec.org/RAS/pya299.htm,A Lesson of International Accounting from Railroad Regulation in the United States in the Nineteenth Century,0,0,0,0,1,1,3,6
Inger Midtkandal,https://logec.repec.org/RAS/pmi683.htm,How Outward Looking is Smart Specialisation? Results from a survey on inter-regional collaboration in Smart Specialisation Strategies (RIS3),1,1,5,57,7,12,34,113
Inger Midtkandal,https://logec.repec.org/RAS/pmi683.htm,The S3 Platform Peer Review Methodology,0,1,2,11,2,3,14,68
Inger Midtkandal,https://logec.repec.org/RAS/pmi683.htm,A Policymakers Guide to Transnational Learning in Smart Specialisation,0,0,0,14,1,1,4,50
